Show,Channel in India,Poster Name ,Original release year,India debut year,India end year,Genre,Country of origin,Animation style,Main character gender,Ensemble/solo,Human/animal/other protagonist,Comedy/adventure/action,Indian-produced?,Short synopsis,Protagonist role,protagonist_role_clean,Underlying themes,prominent_theme_clean,creators,no_of_female_creators
Adventure Time,Cartoon Network,AT,2010,2011,2017,Adventure/Comedy,USA,traditional 2D,male,duo,human/animal,comedy/adventure,No,"A boy and his magical dog explore the fantastical Land of Ooo, encountering strange characters, dangers and mysteries.",Adventurer / Explorer,Adventurer,"friendship, courage, imagination, identity",Adventure,Pendleton Ward,0
Ben 10,Cartoon Network,ben10,2005,2006,2014,Action/Adventure,USA,traditional 2D,male,solo,human,action/adventure,No,A boy discovers a device that lets him transform into different aliens and uses their powers to fight dangerous threats.,Hero / Transformer,Hero,"identity, responsibility, courage, power",Heroism,"Duncan Rouleau, Joe Casey, Joe Kelly, Steven T. Seagle",0
Beyblade,Cartoon Network,bey,2001,2003,2008,Action/Sports,Japan,traditional 2D,male,ensemble,human,action/adventure,No,"Young competitors travel and battle in spinning-top tournaments while building friendships, rivalries and increasingly powerful techniques.",Competitor,Competitor,"ambition, mastery, perseverance, friendship",Competition,Takao Aoki,0
Codename: Kids Next Door,Cartoon Network,kid,2002,2003,2008,Comedy/Action,USA,traditional 2D,mixed,ensemble,human,comedy/action,No,"Five children run a secret organization dedicated to fighting adult rules, chores and villains threatening kids everywhere.",Rebel / Protector,Rebel,"independence, rebellion, teamwork, childhood",Heroism,Tom Warburton,0
Courage the Cowardly Dog,Cartoon Network,courage,1999,2000,2010,Comedy/Horror,USA,traditional 2D,male,solo,animal,comedy/adventure,No,"A timid dog protects his elderly owners from bizarre monsters, supernatural threats and strange events around their isolated farmhouse.",Reluctant Protector,Protector,"courage, loyalty, fear, protection",Heroism,John R. Dilworth,0
Dexter's Laboratory,Cartoon Network,dexter,1996,1997,2005,Comedy/Sci-fi,USA,traditional 2D,male,solo,human,comedy/action,No,A young scientific genius secretly runs a high-tech laboratory while constantly dealing with his curious and disruptive sister.,Inventor / Problem-Solver,Inventor,"creativity, curiosity, intelligence, sibling relationships",Scientific,Genndy Tartakovsky,0
Digimon Adventure,Cartoon Network,digimon,1999,2000,2005,Adventure/Fantasy,Japan,traditional 2D,mixed,ensemble,human/animal,adventure/action,No,A group of children enter a digital world where they partner with creatures and battle forces threatening both worlds.,Explorer / Hero,Hero,"friendship, courage, responsibility, discovery",Adventure,Akiyoshi Hongo,0
Mr. Bean: The Animated Series,Cartoon Network,bean,2002,2003,2010,Comedy,UK,traditional 2D,male,solo,human,comedy,No,"The eccentric Mr. Bean turns ordinary situations into elaborate comic mishaps through schemes, misunderstandings and inventive problem-solving.",Trickster / Entertainer,Entertainer,"mischief, cleverness, consequences, humor",Mischief,Richard Curtis & Robin Driscoll,0
The Scooby-Doo Show,Cartoon Network,scoby,1976,1995,2000,Comedy/Mystery,USA,traditional 2D,male,ensemble,animal/human,comedy/adventure,No,Scooby-Doo and his friends investigate spooky mysteries and expose people pretending to be supernatural threats.,Detective / Investigator,Detective,"curiosity, teamwork, truth, problem-solving",Mystery,Hanna-Barbera Productions,Yes
"Scooby-Doo, Where Are You!",Cartoon Network,scobywru,1969,1995,2000,Comedy/Mystery,USA,traditional 2D,male,ensemble,animal/human,comedy/adventure,No,"Scooby-Doo and four teenagers travel in their van, investigate mysteries and unmask ordinary people behind frightening disguises.",Detective / Investigator,Detective,"curiosity, teamwork, truth, problem-solving",Mystery,Joe Ruby & Ken Spears,0
Scooby-Doo! Mystery Incorporated,Cartoon Network,scobyMI,2010,2011,2014,Mystery/Adventure,USA,traditional 2D,male,ensemble,animal/human,adventure/comedy,No,"A darker, serialized Mystery Inc. investigates supernatural mysteries while uncovering a larger conspiracy surrounding their hometown.",Detective / Investigator,Detective,"truth, friendship, mystery, trust",Mystery,Joe Ruby & Ken Spears (franchise creators); Mitch Watson (developer),0
Scooby-Doo and Guess Who?,Cartoon Network,ScobyGW,2019,2019,2020,Comedy/Mystery,USA,traditional 2D,male,ensemble,animal/human,comedy/adventure,No,"Scooby-Doo and the gang solve mysteries alongside famous guest characters from television, film, music and fiction.",Detective / Investigator,Detective,"curiosity, teamwork, humor, truth",Mystery,Joe Ruby & Ken Spears (franchise creators); Chris Bailey (developer),0
Dragon Ball Z,Cartoon Network,DBZ,1989,1998,2005,Action/Adventure,Japan,traditional 2D,male,ensemble,human/other,action/adventure,No,"Powerful warriors defend Earth from increasingly dangerous enemies while training, fighting and discovering extraordinary new abilities.",Hero / Warrior,Hero,"courage, perseverance, loyalty, sacrifice",Heroism,Akira Toriyama,0
Dragon Tales,Cartoon Network,DragonT,1999,2000,2008,Fantasy/Educational,USA/Canada,traditional 2D,mixed,ensemble,human/animal,adventure,No,"Two siblings enter a magical dragon world where they learn about friendship, cooperation and problem-solving through imaginative adventures.",Explorer / Learner,Explorer,"imagination, friendship, curiosity, learning",Adventure,"Jim Coane, Ron Rodecker & Jeffrey Zahn",0
"Ed, Edd n Eddy",Cartoon Network,eddy,1999,2000,2009,Comedy,Canada/USA,traditional 2D,male,ensemble,human,comedy,No,"Three neighborhood boys invent increasingly elaborate schemes to make money, usually ending in chaotic and comic failure.",Trickster / Schemer,Trickster,"friendship, mischief, greed, consequences",Mischief,Danny Antonucci,0
